=== /Users/shashanksaxena/Downloads/ASG Edge Plus Draft Feature List V1.xlsx ===
Sheets: ['ASG Edge Plus Modules', 'ASG Edge Plus Features', 'List of BRDs ', 'Pain points User Persona Wise', 'EdgePlusFields', 'FieldArchive', 'ExistingModules', 'ExistingNeededModules', 'ExistingGlobalFields', 'NeededGlobalFields', 'ExistingFirmFields', 'NeededFirmFields', 'Abbreviation', 'ASG Wishlist']


##### SHEET: ASG Edge Plus Modules #####
Work Area Number	Feature ID	Module	Sub Module	Pages	Sub Pages	Actions	Taazaa Remarks	ASG Remarks	Final Action
			Security.PageLayoutID	Page Layout	True	This field determines the security for a given page layout for a user class.	This field determines the security for a given page layout for a user class.
			Security.ParentGroupName	Parent Group Name	False	The value of this field is computed as the name of the parent group of the security object.	The value of this field is computed as the name of the parent group of the security object.
			Security.RootReportGroupDataID	Parent Report Group			
			Security.SubReportGroupDataID	Report Group			
			Security.ReportGroupAvailableFieldID	Report Group Available Field	True	The reporting field that is associated with the object.	The reporting field that is associated with the object.
			Security.ReportGroupDataID	Report Group Data	True	The Report Group Data that is associated with the security object.	The Report Group Data that is associated with the security object.
			Security.SecurityLevelName	Security Level	False	The localized name of the security level (No Access, View, Edit, Delete).	The localized name of the security level (No Access, View, Edit, Delete).
			Security.SecurityObjectNameText	Security Object Name	False	The localized name of the item that the security object is for.	The localized name of the item that the security object is for.
			Security.CodeSecurityPrivilegeID	Security Privilege	True	This field determines the security for a given action for a user class.	This field determines the security for a given action for a user class.
			Security.SecurityType	Security Type	False	This field returns name of the security type (Page, Action, Field, Budget).	This field returns name of the security type (Page, Action, Field, Budget).
			Security.SecurityLevelByteValue	SecurityLevelByteValue			
			Security.CodeUserClassID	User Class	True	This field determines the user class that the security is associated with.	This field determines the user class that the security is associated with.
			Security.BOMapClientRecordID	User Class Security ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			Security.UserClassSecurityID	User Class Security RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
		State Province Country					
			StateProvinceCountry.Country	Country	True	This field determines the country of the StateProvinceCountry record.	This field determines the country of the StateProvinceCountry record.
			StateProvinceCountry.ISOAlpha2Code	ISO Alpha #2 Code	False	The ISO Alpha 2 Code of the given StateProvinceCountry record (such as US, MX, CA).	The ISO Alpha 2 Code of the given StateProvinceCountry record (such as US, MX, CA).
			StateProvinceCountry.ISOAlpha3Code	ISO Alpha #3 Code	False	The ISO Alpha 3 Code of the given StateProvinceCountry record (such as USA, MEX, CAN).	The ISO Alpha 3 Code of the given StateProvinceCountry record (such as USA, MEX, CAN).
			StateProvinceCountry.ModifiedByID	Modified By	True	Text that has both the state/province and country, separated by a comma. (e.g. Tx, United States)	Text that has both the state/province and country, separated by a comma. (e.g. Tx, United States)
			StateProvinceCountry.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			StateProvinceCountry.BOMapClientRecordID	State Province Country ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			StateProvinceCountry.StateProvinceCountryID	State Province Country RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
			StateProvinceCountry.StateProvince	State/Province	True	The State / Province abbreviation, such as TX for Texas.	The State / Province abbreviation, such as TX for Texas.
			StateProvinceCountry.StateProvinceCountryName	State/Province Country	False	The state/province and country, separated by a comma (such as Tx, United States).	The state/province and country, separated by a comma (such as Tx, United States).
			StateProvinceCountry.TaxRate1	Tax Rate 1	True	The first tax rate for a given StateProvinceCountry record.	The first tax rate for a given StateProvinceCountry record.
			StateProvinceCountry.TaxRate2	Tax Rate 2	True	The second tax rate for a given StateProvinceCountry record.	The second tax rate for a given StateProvinceCountry record.
		Summary					
			Firm.CapProgramSetupPageLayoutID	Capital Program Setup Page	True	The page layout ID of the first page of the Capital Program Setup Wizard.	The page layout ID of the first page of the Capital Program Setup Wizard.
			Firm.CapProjectSetupPageLayoutID	Capital Project Setup Page	True	The page layout ID of the first page of the Capital Project Setup Wizard.	The page layout ID of the first page of the Capital Project Setup Wizard.
			Firm.CodeDefaultFolderSecurityID	Default Folder Security			
			Firm.EquipmentContractSetupPageLayoutID	Equipment Contract Setup Page	True	The page layout ID of the first page of the Equipment Contract Setup Wizard.	The page layout ID of the first page of the Equipment Contract Setup Wizard.
			Firm.FacilitySetupPageLayoutID	Facility Setup Page	True	The page layout ID of the first page of the Facility Setup Wizard.	The page layout ID of the first page of the Facility Setup Wizard.
			Firm.FromEmailAddress	From Email			
			Firm.JSONConfigText	JSON Configuration			
			Firm.LocationSetupPageLayoutID	Location Setup Page	True	The page layout ID of the first page of the Location Setup Wizard.	The page layout ID of the first page of the Location Setup Wizard.
			Firm.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			Firm.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			Firm.OpenProjectSetupPageLayoutID	Opening Project Setup Page	True	The page layout ID of the first page of the Project Setup Wizard.	The page layout ID of the first page of the Project Setup Wizard.
			Firm.ParcelSetupPageLayoutID	Parcel Setup Page	True	The page layout ID of the first page of the Parcel Setup Wizard.	The page layout ID of the first page of the Parcel Setup Wizard.
			Firm.PortfolioSetupPageLayoutID	Portfolio Setup Page	True	The page layout ID of the first page of the Portfolio Setup Wizard.	The page layout ID of the first page of the Portfolio Setup Wizard.
			Firm.PrototypeSetupPageLayoutID	Prototype Setup Page	True	The page layout ID of the first page of the Prototype Setup Wizard.	The page layout ID of the first page of the Prototype Setup Wizard.
			Firm.ContractSetupPageLayoutID	RE Contract Setup Page	True	The page layout ID of the first page of the RE Contract Setup Wizard.	The page layout ID of the first page of the RE Contract Setup Wizard.
			Firm.SvcChannelFirmID	Service Channel FirmID			
			Firm.SiteSetupPageLayoutID	Site Setup Page	True	The page layout ID of the first page of the Site Setup Wizard.	The page layout ID of the first page of the Site Setup Wizard.
		Template Audit					
			TemplateAudit.AppliedDate	Applied Date	True	The date when the template was applied to an entity.	The date when the template was applied to an entity.
			TemplateAudit.CopyFolderStructure	Copy Folder Structure?	True	If the value of this field is true, a folder template has been applied.	If the value of this field is true, a folder template has been applied.
			TemplateAudit.CreatedByID	Created By	True	The Created By field is a system-populated field which captures the name of the member making changes to a record.	The Created By field is a system-populated field which captures the name of the member making changes to a record.
			TemplateAudit.CreatedDate	Created Date	True	The Created Date field is a system-populated field which captures the date that a record was created.	The Created Date field is a system-populated field which captures the date that a record was created.
			TemplateAudit.EntityTemplateID	Entity Template	True	The ID of the template type.	The ID of the template type.
			TemplateAudit.EntityTemplateTypeName	Entity Template Type	True	The plain text name of the template type.	The plain text name of the template type.
			TemplateAudit.FolderEntityTemplateID	Folder Template	True	The ID of the folder template that was applied to the entity.	The ID of the folder template that was applied to the entity.
			TemplateAudit.CodeFolderActionIDList	Folder Template Action List	True	This field is not implemented for this table.	This field is not implemented for this table.
			TemplateAudit.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			TemplateAudit.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			TemplateAudit.RevNumber	Rev Number	True	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.
			TemplateAudit.ScheduleEndDate	Schedule End Date	True	The end date of the schedule.	The end date of the schedule.
			TemplateAudit.ScheduleStartDate	Schedule Start Date	True	The start date of the schedule.	The start date of the schedule.
			TemplateAudit.TaskEntityTemplateID	Task Template	True	The ID of the schedule template that was applied to the entity.	The ID of the schedule template that was applied to the entity.
			TemplateAudit.BOMapClientRecordID	Template Audit ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			TemplateAudit.TemplateAuditID	Template Audit RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
		Work Flow Template					
			WorkFlowTemplate.PageLayoutID	Active Layout	True	Select the form whose completion you want to have kick off this work flow.	Select the form whose completion you want to have kick off this work flow.
			WorkFlowTemplate.TaskName	Associated Task	True	Select the schedule task whose completion you want to have kick off this work flow.	Select the schedule task whose completion you want to have kick off this work flow.
			WorkFlowTemplate.AutoAssignInitiator	Auto Assign Initiator as Ad Hoc Assignee	True	When selected, the system will automatically assign the person who kicks off the work flow as an ad hoc assignee to the kickoff step or form, and on any step that requires an ad hoc assignee in the work flow. For more information about this functionality, see the <i>Manage Work Flows</i> page in the Lucernex Online Help.	When selected, the system will automatically assign the person who kicks off the work flow as an ad hoc assignee to the kickoff step or form, and on any step that requires an ad hoc assignee in the work flow. For more information about this functionality, see the <i>Manage Work Flows</i> page in the Lucernex Online Help.
			WorkFlowTemplate.CollaboratorJobTitleIDList	Collaborator Job Title List			
			WorkFlowTemplate.CreatedByID	Created By	True	The Created By field is a system-populated field which captures the name of the member making changes to a record.	The Created By field is a system-populated field which captures the name of the member making changes to a record.
			WorkFlowTemplate.CreatedDate	Created Date	True	The Created Date field is a system-populated field which captures the date that a record was created.	The Created Date field is a system-populated field which captures the date that a record was created.
			WorkFlowTemplate.DefaultWFCodePriorityID	Default Work Flow Priority	False	Select the priority of the work flow from this field.	Select the priority of the work flow from this field.
			WorkFlowTemplate.Description	Description	False	Write a description of the record.	Write a description of the record.
			WorkFlowTemplate.KickOffDescription	Description of KickOff	False	Contains the text description of the kick off step or form.	Contains the text description of the kick off step or form.
			WorkFlowTemplate.EnableVendorCollaboration	Enable Vendor Collaboration			
			WorkFlowTemplate.IsEnabledLxJSCode	Javascript Source Code	True	This field is where you will enter your custom JavaScript used to kick off conditional work flows.	This field is where you will enter your custom JavaScript used to kick off conditional work flows.
			WorkFlowTemplate.KickOffMethod	Kick-off Method	True	There are three ways a work flow can be kicked off: by completion of an action in another work flow, by completion of a schedule task, or by completion of a form.	There are three ways a work flow can be kicked off: by completion of an action in another work flow, by completion of a schedule task, or by completion of a form.
			WorkFlowTemplate.LimitByEntity	Limit By Entity?	True	If this value is 1, the work flow template is only available for certain portfolios. If this value is 0, the work flow template is available for all portfolios.	If this value is 1, the work flow template is only available for certain portfolios. If this value is 0, the work flow template is available for all portfolios.
			WorkFlowTemplate.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			WorkFlowTemplate.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			WorkFlowTemplate.NotifyAllApproversComplete	Notify All Approvers When Complete?	True	Select this check box if you want to send an email notification to prior work flow approvers when the work flow is complete.	Select this check box if you want to send an email notification to prior work flow approvers when the work flow is complete.
			WorkFlowTemplate.NotifyAllAssigneesComplete	Notify All Assignees When Complete?	True	Select this check box if you want to send and email notification to prior work flow assignees when the work flow is complete.	Select this check box if you want to send and email notification to prior work flow assignees when the work flow is complete.
			WorkFlowTemplate.NotifyInitiatorComplete	Notify Initiator When Complete?	True	Select this check box if you want to send an email notification to the work flow initiator when the work flow is complete.	Select this check box if you want to send an email notification to the work flow initiator when the work flow is complete.
			WorkFlowTemplate.RevNumber	Rev Number	True	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.
			WorkFlowTemplate.StatusChangeID	Status Change ID	False	Gives the status change id of the workflow template kick off.	Gives the status change id of the workflow template kick off.
			WorkFlowTemplate.StatusChangeType	Status Change Type	False	Gives the status change type of the workflow template kick off.	Gives the status change type of the workflow template kick off.
			WorkFlowTemplate.KickOffID	Work Flow Kick-off Record	False	Displays the workflow template kickoff ID.	Displays the workflow template kickoff ID.
			WorkFlowTemplate.BOMapClientRecordID	Work Flow Template ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			WorkFlowTemplate.WorkFlowTemplateName	Work Flow Template Name	True	Enter the name of your work flow template in this field.	Enter the name of your work flow template in this field.
			WorkFlowTemplate.WorkFlowTemplateID	Work Flow Template RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
		Work Flow Template Step					
			WorkFlowTemplateStep.ApproverJobTitleIDList	Approver Job Title List	True	Select the job titles that should approve this work flow task.	Select the job titles that should approve this work flow task.
			WorkFlowTemplateStep.ApproverMemberIDList	Approver Member List	True	Select the members that should approve this work flow task.	Select the members that should approve this work flow task.
			WorkFlowTemplateStep.ApproverType	Approver Type	True	Select the category of approver you want to use, such as by Job Title, User Class, Member, or Org Chart Level.	Select the category of approver you want to use, such as by Job Title, User Class, Member, or Org Chart Level.
			WorkFlowTemplateStep.ApproverUserClassIDList	Approver User Class List	True	Select the user classes that should approve this work flow task.	Select the user classes that should approve this work flow task.
			WorkFlowTemplateStep.AssigneeJobTitleIDList	Assignee Job Title List	True	Select the job titles that should be assigned to this work flow task.	Select the job titles that should be assigned to this work flow task.
			WorkFlowTemplateStep.AssigneeMemberIDList	Assignee Member List	True	Select the members that should be assigned to this work flow task.	Select the members that should be assigned to this work flow task.
			WorkFlowTemplateStep.AssigneeType	Assignee Type	True	Select the category of assignee you want to use, such as by Job Title, User Class, Member, or Org Chart Level.	Select the category of assignee you want to use, such as by Job Title, User Class, Member, or Org Chart Level.
			WorkFlowTemplateStep.AssigneeUserClassIDList	Assignee User Class List	True	Select the user classes that should be assigned to this work flow task.	Select the user classes that should be assigned to this work flow task.
			WorkFlowTemplateStep.TaskName	Associated Task Name	True	Select the schedule task that this work flow step should be associated with from this field.	Select the schedule task that this work flow step should be associated with from this field.
			WorkFlowTemplateStep.RunAtCompleteApprover1ID	At Complete Approver 1 ID	False	This field is a placeholder for an upcoming feature.	This field is a placeholder for an upcoming feature.
			WorkFlowTemplateStep.RunAtCompleteApprover2ID	At Complete Approver 2 ID	False	This field is a placeholder for an upcoming feature.	This field is a placeholder for an upcoming feature.
			WorkFlowTemplateStep.runAtCompleteScheduledJob1ID	At Complete Scheduled Job 1 ID			
			WorkFlowTemplateStep.runAtCompleteScheduledJob2ID	At Complete Scheduled Job 2 ID			
			WorkFlowTemplateStep.RunAtStartApprover1ID	At Start Approver 1 ID	False	This field is a placeholder for an upcoming feature.	This field is a placeholder for an upcoming feature.
			WorkFlowTemplateStep.RunAtStartApprover2ID	At Start Approver 2 ID	False	This field is a placeholder for an upcoming feature.	This field is a placeholder for an upcoming feature.
			WorkFlowTemplateStep.runAtStartScheduledJob1ID	At Start Scheduled Job 1 ID			
			WorkFlowTemplateStep.runAtStartScheduledJob2ID	At Start Scheduled Job 2 ID			
			WorkFlowTemplateStep.AutoAdjustTaskDates	Automatically Adjust Task Dates to WF Step	True	Select this check box if you want Lucernex to automatically adjust the task dates to match the step durations.	Select this check box if you want Lucernex to automatically adjust the task dates to match the step durations.
			WorkFlowTemplateStep.AutoLaunchNextStep	Automatically Transition to Next Step	True	Select this check box if you want Lucernex to automatically launch the next step if it is a form.	Select this check box if you want Lucernex to automatically launch the next step if it is a form.
			WorkFlowTemplateStep.SetTaskCanceled	Cancel Task When Step is Canceled	True	Select this check box if you want to set the work flow step status to "Canceled" when the user cancels the step.	Select this check box if you want to set the work flow step status to "Canceled" when the user cancels the step.
			WorkFlowTemplateStep.CreatedByID	Created By	True	The Created By field is a system-populated field which captures the name of the member making changes to a record.	The Created By field is a system-populated field which captures the name of the member making changes to a record.
			WorkFlowTemplateStep.CreatedDate	Created Date	True	The Created Date field is a system-populated field which captures the date that a record was created.	The Created Date field is a system-populated field which captures the date that a record was created.
			WorkFlowTemplateStep.DaysUntilAlertApprovers	Days Until Alert Approvers	True	Enter how many days there will be before a manager is notified that this step has not been completed in this field.	Enter how many days there will be before a manager is notified that this step has not been completed in this field.
			WorkFlowTemplateStep.DaysUntilAlertAssignees	Days Until Alert Assignees	True	Enter how many days there will be before a manager is notified that this step has not been completed in this field.	Enter how many days there will be before a manager is notified that this step has not been completed in this field.
			WorkFlowTemplateStep.DaysUntilNotification	Days Until Notification	True	Enter the number of days after the form completion date a notification should be sent in this field.	Enter the number of days after the form completion date a notification should be sent in this field.
			WorkFlowTemplateStep.DaysUntilWarnApprovers	Days Until Warn Approvers	True	Enter how many days there will be before an approver receives a notification that this step has not been completed in this field.	Enter how many days there will be before an approver receives a notification that this step has not been completed in this field.
			WorkFlowTemplateStep.DaysUntilWarnAssignees	Days Until Warn Assignees	True	Enter how many days there will be before an assignee receives a notification that this step has not been completed in this field.	Enter how many days there will be before an assignee receives a notification that this step has not been completed in this field.
			WorkFlowTemplateStep.Description	Description	False	Write a description of the record.	Write a description of the record.
			WorkFlowTemplateStep.IsFormStep	Is a Form Step (vs Task Step)	True	This field has one of two values: Form Step or Task Step.	This field has one of two values: Form Step or Task Step.
			WorkFlowTemplateStep.PageLayoutApproversID	Layout To Use With Approvers	True	Select which form layout approvers should see for this step.	Select which form layout approvers should see for this step.
			WorkFlowTemplateStep.PageLayoutAssigneesID	Layout To Use With Assignees	True	Select which form layout assignees should see for this step.	Select which form layout assignees should see for this step.
			WorkFlowTemplateStep.SetTaskInProcess	Mark Task In Progress When Step Starts	True	Select this check box if you want to set the work flow step status to "In Process" when the step starts.	Select this check box if you want to set the work flow step status to "In Process" when the step starts.
			WorkFlowTemplateStep.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			WorkFlowTemplateStep.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			WorkFlowTemplateStep.NotifieeJobTitleIDList	Notifiee Job Title List	True	Select the job titles that should receive a notification once this work flow task is completed.	Select the job titles that should receive a notification once this work flow task is completed.
			WorkFlowTemplateStep.NotifieeMemberIDList	Notifiee Member List	True	Select the members that should receive a notification once this work flow task is completed.	Select the members that should receive a notification once this work flow task is completed.
			WorkFlowTemplateStep.NotifieeType	Notifiee Type	True	Select the category of notifiee you want to use, such as by Job Title, User Class, Member, or Org Chart Level.	Select the category of notifiee you want to use, such as by Job Title, User Class, Member, or Org Chart Level.
			WorkFlowTemplateStep.NotifieeUserClassIDList	Notifiee User Class List	True	Select the user classes that should receive a notification once this work flow task is completed.	Select the user classes that should receive a notification once this work flow task is completed.
			WorkFlowTemplateStep.NotifyStepApproversStarted	Notify Step Approvers When Started	True	Select this check box if you want Lucernex to send an email notification to the task approver when the step starts.	Select this check box if you want Lucernex to send an email notification to the task approver when the step starts.
			WorkFlowTemplateStep.NotifyStepAssigneesStarted	Notify Step Assignees When Started	True	Select this check box if you want Lucernex to send an email notification to the task assignee when the step starts.	Select this check box if you want Lucernex to send an email notification to the task assignee when the step starts.
			WorkFlowTemplateStep.DurationDaysApprovers	Number of Days for Approvers to Act	True	Enter how long in days an approver has to complete a step in this field.	Enter how long in days an approver has to complete a step in this field.
			WorkFlowTemplateStep.DurationDaysAssignees	Number of Days For Assignees to Act	True	Enter how long in days an assignee has to complete a step in this field.	Enter how long in days an assignee has to complete a step in this field.
			WorkFlowTemplateStep.ReassignApproversJobTitleIDList	Reassign Approvers Job Title List	True	When added to a form, this field allows users with appropriate permissions to reassign approvers by job title.	When added to a form, this field allows users with appropriate permissions to reassign approvers by job title.
			WorkFlowTemplateStep.ReassignAssigneesJobTitleIDList	Reassign Assignees Job Title List	True	When added to a form, this field allows users with appropriate permissions to reassign assignees by job title.	When added to a form, this field allows users with appropriate permissions to reassign assignees by job title.
			WorkFlowTemplateStep.Priority	Relative Priority	False	Select the priority of this task from this field.	Select the priority of this task from this field.
			WorkFlowTemplateStep.ComputedRequiresApprovers	Requires Approvers?	True	The value of this field is true if the work flow step requires approvers.	The value of this field is true if the work flow step requires approvers.
			WorkFlowTemplateStep.ComputedRequiresAssignees	Requires Assignees?	True	The value of this field is true if the work flow step requires assignees.	The value of this field is true if the work flow step requires assignees.
			WorkFlowTemplateStep.RevNumber	Rev Number	True	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.
			WorkFlowTemplateStep.EMailAlertApprovers	Should Alert Approvers?	True	Select this check box if you want to send a dashboard alert to the approver of this task when the task starts.	Select this check box if you want to send a dashboard alert to the approver of this task when the task starts.
			WorkFlowTemplateStep.EMailAlertAssignees	Should Email Assignees?	True	Select this check box if you want to send a dashboard alert to the assignee of this task when the task starts.	Select this check box if you want to send a dashboard alert to the assignee of this task when the task starts.
			WorkFlowTemplateStep.EnableForEMail	Should Send Email?	True	Select this check box if you would like the notification to be sent as an email.	Select this check box if you would like the notification to be sent as an email.
			WorkFlowTemplateStep.EnableForDashboard	Step Enabled for Dashboard	True	Select this check box if you would like the notification to be sent as a Dashboard alert.	Select this check box if you would like the notification to be sent as a Dashboard alert.
			WorkFlowTemplateStep.WorkFlowTemplateStepName	Step Name	True	Enter the name of the work flow step in this field.	Enter the name of the work flow step in this field.
			WorkFlowTemplateStep.StepNumber	Step Number	True	Enter the step number in this field.	Enter the step number in this field.
			WorkFlowTemplateStep.EMailMessage	Text of Email to Send	True	Enter any additional information you want to include in the notification email in this field.	Enter any additional information you want to include in the notification email in this field.
			WorkFlowTemplateStep.UnassignedApproverID	Unassigned Approver	False	This field is a placeholder for an upcoming feature.	This field is a placeholder for an upcoming feature.
			WorkFlowTemplateStep.WorkFlowTemplateID	Work Flow Template	True	The name of the work flow template that this work flow step is associated with.	The name of the work flow template that this work flow step is associated with.
			WorkFlowTemplateStep.BOMapClientRecordID	Work Flow Template Step ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			WorkFlowTemplateStep.WorkFlowTemplateStepID	Work Flow Template Step RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
		Work Flow Template Step Action					
			WorkFlowTemplateStepAction.ActionComment	Action Comment	False	This field captures any comments left by the approver on the approver's action.	This field captures any comments left by the approver on the approver's action.
			WorkFlowTemplateStepAction.WorkFlowTemplateStepActionName	Action Name	True	Enter the name of the action in this field.	Enter the name of the action in this field.
			WorkFlowTemplateStepAction.CloseWorkFlow	Action Should Close Work Flow?	True	This setting will close the current work flow after this step has been completed.	This setting will close the current work flow after this step has been completed.
			WorkFlowTemplateStepAction.DisableEditAfterDecision	Action Should Disable Edit?	True	This setting prevents users from making any more changes after the step status is changed to Approved or Denied.	This setting prevents users from making any more changes after the step status is changed to Approved or Denied.
			WorkFlowTemplateStepAction.MoveToStepNumber	Action Should Move to Next Step Number	True	If you want to move to a specific step number with the completion of this action, enter the step number in this field. 	If you want to move to a specific step number with the completion of this action, enter the step number in this field. 
			WorkFlowTemplateStepAction.RestartStep	Action Should Restart the Step?	True	Select this option button if this action should trigger the step to restart.	Select this option button if this action should trigger the step to restart.
			WorkFlowTemplateStepAction.FifoPayApp	Apply FIFO Pay App Validation			
			WorkFlowTemplateStepAction.AutoCopyAmounts	Auto Copy Amounts	True	This setting automatically copies budget-impacting values into a custom list in the next step of the work flow. This feature works together with the existing Copy To functionality for custom lists, and is recommended when using Budget Custom Lists in your work flow.	This setting automatically copies budget-impacting values into a custom list in the next step of the work flow. This feature works together with the existing Copy To functionality for custom lists, and is recommended when using Budget Custom Lists in your work flow.
			WorkFlowTemplateStepAction.bidAwdApCodeLastActionStatusID	Bid Award Approval Status			
			WorkFlowTemplateStepAction.CreatedByID	Created By	True	The Created By field is a system-populated field which captures the name of the member making changes to a record.	The Created By field is a system-populated field which captures the name of the member making changes to a record.
			WorkFlowTemplateStepAction.CreatedDate	Created Date	True	The Created Date field is a system-populated field which captures the date that a record was created.	The Created Date field is a system-populated field which captures the date that a record was created.
			WorkFlowTemplateStepAction.Description	Description	False	Write a description of the record.	Write a description of the record.
			WorkFlowTemplateStepAction.GenPurchOrderLineSeqNum	Generate Purchase Order Line Sequence Number			
			WorkFlowTemplateStepAction.IsApprovalAction	Is Approval Action?	True	Specifies whether the current action is an approval or not. If it is not, then the step is either restarted or denied.	Specifies whether the current action is an approval or not. If it is not, then the step is either restarted or denied.
			WorkFlowTemplateStepAction.IsEnabledLxJSCode	Javascript Source Code	True	If you are creating a custom action using JavaScript, enter the JavaScript in this field.	If you are creating a custom action using JavaScript, enter the JavaScript in this field.
			WorkFlowTemplateStepAction.KickOffDescription	Kick Off Description	False	The description of the work flow kick off trigger.	The description of the work flow kick off trigger.
			WorkFlowTemplateStepAction.KickOffWorkFlowTemplateID	Kick Off Work Flow Template	True	If you want to kick off another work flow with the completion of this action, select the work flow from this field.	If you want to kick off another work flow with the completion of this action, select the work flow from this field.
			WorkFlowTemplateStepAction.KickOffTargetWFTemplateID	Kick Off Work Flow Template Trigger	True	Returns the workflow template kickoff trigger value, a number associated with a workflow template.	Returns the workflow template kickoff trigger value, a number associated with a workflow template.
			WorkFlowTemplateStepAction.CodeLastActionStatusID	Last Action Status			
			WorkFlowTemplateStepAction.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			WorkFlowTemplateStepAction.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			WorkFlowTemplateStepAction.NotifyInitiatorComplete	Notify Initiator on Complete?	True	Select this check box if you want to send a notification to the initiator of this step once the step is complete.	Select this check box if you want to send a notification to the initiator of this step once the step is complete.
